date,value,scaled_value,lstm_pred,dayofweek,month,dayofyear,lag_1,lag_2,rolling_mean_3,rolling_std_3,diff_1
2014-02-26,10.98,0.3606557377049189,0.47926188,2,2,57,10.32,10.59,10.63,0.33181320046074103,0.6600000000000001
2014-02-27,12.15,1.0,0.4805742,3,2,58,10.98,10.32,11.15,0.9267685795278116,1.17
2014-02-28,11.37,0.5737704918032787,0.51886714,4,2,59,12.15,10.98,11.5,0.5957348403442557,-0.7800000000000011
2014-03-03,11.78,0.7978142076502728,0.51777846,0,3,62,11.37,12.15,11.766666666666666,0.39017090272511135,0.41000000000000014
2014-03-04,11.94,0.8852459016393439,0.5637766,1,3,63,11.78,11.37,11.696666666666667,0.29399546481761957,0.16000000000000014
2014-03-05,11.78,0.7978142076502728,0.59760743,2,3,64,11.94,11.78,11.833333333333334,0.09237604307030935,-0.16000000000000014
2014-03-06,11.39,0.584699453551913,0.6263082,3,3,65,11.78,11.94,11.703333333333333,0.282901631902907,-0.3899999999999988
2014-03-07,11.41,0.5956284153005464,0.6546742,4,3,66,11.39,11.78,11.526666666666666,0.21962088546704517,0.019999999999999574
